ST,STATE,STATE_NAME,CD,Mexico,World,Mex_share,Total Jobs 2018
OH,39,Ohio,8,540717165,4603914457,0.117447266,3023.783066
OH,39,Ohio,9,454445874.3,3174120823,0.143172204,2374.609148
OH,39,Ohio,10,261978346.3,2692694350,0.09729227,1590.334428
OH,39,Ohio,11,392574132.2,3037958662,0.129223,2085.305555
OH,39,Ohio,12,214944263.6,2084082903,0.103136139,1221.322091
OH,39,Ohio,13,372721164.6,2595033019,0.143628679,2090.085417
OH,39,Ohio,14,571577345.4,4131635144,0.13834168,3090.932155
OH,39,Ohio,15,247420324.2,1897774974,0.1303739,1417.089046
OH,39,Ohio,16,338054297.5,3119815217,0.108357154,2003.011869
OK,40,Oklahoma,1,116894628.2,1916902731,0.060980991,601.6971799
OK,40,Oklahoma,2,271779797.8,1272354790,0.213603784,1439.579337
OK,40,Oklahoma,3,231470785.1,1333488644,0.173582869,1492.883549
OK,40,Oklahoma,4,92421620.85,838766563.3,0.110187536,525.9284653
OK,40,Oklahoma,5,77401520.02,911786811.2,0.084889932,455.5109891
OR,41,Oregon,1,97024214.86,9777438932,0.009923275,555.3735196
OR,41,Oregon,2,91008971.62,2307527236,0.039440042,617.6492669
OR,41,Oregon,3,78595158.01,2422815461,0.032439597,442.6964735
OR,41,Oregon,4,92001788.37,3967814320,0.02318702,574.7878198
OR,41,Oregon,5,109062498.1,2561063388,0.042584849,700.070514
PA,42,Pennsylvania,1,278663977.7,2822212152,0.098739557,1332.532918
PA,42,Pennsylvania,2,26654132.82,246151750.3,0.108283337,134.1928284
PA,42,Pennsylvania,3,34551783.81,332971395.8,0.103768024,166.2782504
PA,42,Pennsylvania,4,171557366.2,3123237827,0.054929332,772.0575235
PA,42,Pennsylvania,5,185910075.8,1791440094,0.103776887,786.7638343
PA,42,Pennsylvania,6,339090372.1,3389750339,0.100034026,1706.079678
PA,42,Pennsylvania,7,364472163.7,2852909362,0.127754554,1829.365771
PA,42,Pennsylvania,8,162974058.5,1705891715,0.095535993,861.2977014
PA,42,Pennsylvania,9,435624422.8,3641407391,0.119630785,2255.849596
PA,42,Pennsylvania,10,128726565.5,937951106,0.137242298,753.5616837
PA,42,Pennsylvania,11,242589254.7,1909333627,0.127054409,1437.241938
PA,42,Pennsylvania,12,219298034,2330444156,0.09410139,1226.907027
PA,42,Pennsylvania,13,328513964.6,3186158441,0.1031066,1834.391578
PA,42,Pennsylvania,14,318064404,4084929784,0.077862882,1632.610876
PA,42,Pennsylvania,15,215814737.2,2453491519,0.087962292,1277.925294
PA,42,Pennsylvania,16,310484856.4,2591300011,0.119818182,1854.977777
PA,42,Pennsylvania,17,295482913.3,1926880046,0.153347851,1387.23687
PA,42,Pennsylvania,18,171221812.9,1701495227,0.100630205,857.6795907
RI,44,Rhode Island,1,84809879.38,1261107370,0.067250324,438.1585748
RI,44,Rhode Island,2,113611316.6,1114594158,0.101930659,615.3308331
SC,45,South Carolina,1,102792152.3,1150426315,0.089351357,578.8448422
SC,45,South Carolina,2,231620843.5,1922987140,0.120448462,1340.865246
SC,45,South Carolina,3,587885340,5559140066,0.105751129,3499.995968
SC,45,South Carolina,4,816558381.2,9500676855,0.08594739,4526.193114
SC,45,South Carolina,5,412315050.2,5037185517,0.081854252,2332.557661
SC,45,South Carolina,6,387090811.5,8913722139,0.043426394,1928.868233
SC,45,South Carolina,7,224816092.3,2538307582,0.088569287,1286.483581
SD,46,South Dakota,0,437398926,2839571494,0.154036948,3580.506898
TN,47,Tennessee,1,631022161.7,4105753277,0.153692178,3314.630023
TN,47,Tennessee,2,462482969.4,3470974181,0.133242987,2358.697537
TN,47,Tennessee,3,664013009,4545014474,0.146097006,3714.561204
TN,47,Tennessee,4,936033904.1,6383084617,0.146642879,5278.540026
TN,47,Tennessee,5,191874349.7,1454517846,0.131916119,1167.742956
TN,47,Tennessee,6,452822688,2858707700,0.158401185,2695.881594
TN,47,Tennessee,7,382211837.2,2616831179,0.146059035,2158.978745
TN,47,Tennessee,8,601916492.8,3623584212,0.166110806,3383.519357
TN,47,Tennessee,9,563431639,3866965629,0.145703814,2733.353199
TX,48,Texas,1,2652872986,7292262944,0.363792832,14697.39329
TX,48,Texas,2,3961286538,13029188389,0.304031719,17615.02971
TX,48,Texas,3,4952732237,11313790321,0.437760653,22551.05434
TX,48,Texas,4,3371811038,7799110905,0.432332747,19958.30455
TX,48,Texas,5,2557335198,5661693339,0.451690871,14101.96806
TX,48,Texas,6,3515432585,8719850424,0.403152854,19053.98163
TX,48,Texas,7,5392441641,26552190519,0.203088391,16038.815
TX,48,Texas,8,1281554734,4718307258,0.271613243,6919.993087
