ST,STATE,STATE_NAME,CD,Mexico,World,Mex_share,Total Jobs 2018
FL,12,Florida,25,161560172.7,2505729344,0.064476306,914.9363203
FL,12,Florida,26,30223270.08,481929256.6,0.062713084,177.5651359
FL,12,Florida,27,55911099.06,864306176.8,0.064688996,333.4664558
GA,13,Georgia,1,355884997,6059925068,0.058727623,1764.020345
GA,13,Georgia,2,336123494.2,3218258221,0.104442674,1947.345445
GA,13,Georgia,3,707061437.7,4762143363,0.148475462,3809.755078
GA,13,Georgia,4,160912988.2,1771677881,0.090825195,878.9538793
GA,13,Georgia,5,51993405.82,718736067.8,0.072340054,289.6825191
GA,13,Georgia,6,82147768.4,934600402.7,0.087896141,469.4020052
GA,13,Georgia,7,319829884.7,3552488872,0.090029806,1631.423139
GA,13,Georgia,8,235042836.8,2634026266,0.089233293,1425.455968
GA,13,Georgia,9,460647195.9,4386358272,0.105018142,2823.287564
GA,13,Georgia,10,181315836.4,1843977788,0.098328644,1134.208835
GA,13,Georgia,11,202966675.9,1942515547,0.104486513,1154.075295
GA,13,Georgia,12,276615211.1,3037100444,0.091078717,1606.056822
GA,13,Georgia,13,103729911.2,795185617.9,0.130447419,584.3468971
GA,13,Georgia,14,419688124.8,3668699698,0.114396969,2519.9071
HI,15,Hawaii,1,513858.1271,424545354.2,0.001210373,3.008271946
HI,15,Hawaii,2,275168.8729,132615937.6,0.002074931,1.544985374
IA,19,Iowa,1,690168062.5,4973889678,0.138758217,5174.534562
IA,19,Iowa,2,531984696,4524079709,0.117589594,3830.942205
IA,19,Iowa,3,248749257.5,1737174219,0.143191889,1983.974299
IA,19,Iowa,4,743814471,5309168937,0.140099982,6279.298689
ID,16,Idaho,1,85617673.82,2040767879,0.041953656,640.7063577
ID,16,Idaho,2,156070300.2,2040879945,0.076472063,1181.828697
