state,district,NAICS4,Description,World,Mexico,Direct Jobs,Indirect Jobs,Total Jobs,Mex_Share
AL,6,3363,Motor Vehicle Parts ,10311282,1331603,3,5,8,0.129140392
AL,6,3369,Misc. Transportation Equipment ,10219203,807659,1,3,4,0.079033463
AL,6,3252,Resins & Synthetic Fibers ,9561056,524125,0,2,2,0.054818736
AL,6,3315,Foundry Products,8416201,310665,1,1,2,0.036912735
AL,6,3271,Clay & Refractory Products ,8266406,1313804,7,3,10,0.158932915
AL,6,3334,HVAC & Refrigeration Equipment ,7782059,862829,2,3,5,0.110874127
AL,6,3116,Meat Products ,6223052,111871,0,1,1,0.017976871
AL,6,3254,Pharmaceuticals & Medicines ,5879448,816079,1,2,2,0.138801976
AL,6,3365,Railroad Rolling Stock ,5413415,1578269,3,7,10,0.291547757
AL,6,3391,Medical Equipment & Supplies ,5102856,135935,0,0,1,0.026639004
AL,6,3323,Architectural & Structural Metals ,5001598,197461,1,1,2,0.039479582
AL,6,3345,Navigational & Meas. Instruments ,4909212,215252,0,0,1,0.043846548
AL,6,3333,Comm. & Serv. Industry Machinery ,4887534,150078,0,1,1,0.030706283
AL,6,3256,"Soaps, Cleaning Agents & Toiletries ",4867651,166385,0,0,1,0.034181785
AL,6,1133,Timber & Logs ,4850717,0,0,0,0,0
AL,6,3262,Rubber Products ,4681371,448284,1,1,3,0.095759127
AL,6,3221,Pulp & Paperboard Mill Products ,4467518,723698,1,3,4,0.161991065
AL,6,3359,Electrical Equipment & Components ,4429554,558827,1,1,3,0.126158751
AL,6,3329,Misc. Fabricated Metal Products ,4377643,337075,1,1,2,0.076999198
AL,6,3327,"Bolts, Nuts & Misc. Turned Prods ",4302921,2697311,14,9,22,0.626855803
AL,6,3325,Hardware ,3862188,1024600,3,4,7,0.265290038
AL,6,3212,"Veneer, Plywood & Engineered Wood ",3628834,32939,0,0,0,0.00907702
AL,6,3336,Engines & Turbines ,3547368,1706241,3,6,9,0.480987876
AL,6,3324,"Boilers, Tanks & Containers ",3535047,766937,2,3,5,0.21695242
AL,6,1111,Oilseeds & Grains ,3353190,238128,2,1,2,0.071015361
AL,6,1123,Poultry & Eggs,3142344,590829,3,2,5,0.188021744
AL,6,3261,Plastics Products ,2400659,1011922,3,3,6,0.421518425
AL,6,3259,Misc. Chemical Preparations ,2391865,27975,0,0,0,0.011695894
AL,6,2123,Nonmetallic Minerals ,2371105,327990,1,1,1,0.13832791
AL,6,3255,"Paints, Coatings & Adhesives ",2246444,648171,1,2,3,0.288532009
AL,6,3313,Aluminum,2047878,1390664,3,5,8,0.679075609
AL,6,3251,Basic Chemicals ,1970790,179945,0,1,1,0.091306024
AL,6,3321,"Crowns, Closures & Seals ",1650456,1010163,2,4,6,0.612050851
AL,6,1119,Misc. Crops ,1579167,108073,1,0,1,0.068436714
AL,6,3122,Tobacco Products ,1381036,0,0,0,0,0
AL,6,3253,Pesticides & Fertilizers ,1301070,54768,0,0,0,0.042094584
AL,6,3231,Printed Matter & Related Products ,1296145,94711,0,0,1,0.0730713
AL,6,3219,Misc. Wood Products ,1216657,94268,0,0,1,0.077481164
AL,6,3272,Glass & Glass Products ,1086048,218107,1,1,1,0.200826299
AL,6,3279,Misc. Nonmetallic Minerals ,1007033,22098,0,0,0,0.02194367
AL,6,3332,Industrial Machinery ,956831,141956,0,1,1,0.148360578
AL,6,3222,Converted Paper Products ,925586,197946,0,1,1,0.213860192
AL,6,3362,Motor Vehicle Bodies & Trailers ,897945,109128,0,1,1,0.121530829
AL,6,3342,Communications Equipment ,803814,118511,0,0,0,0.14743585
AL,6,3335,Metalworking Machinery ,659765,177148,1,1,1,0.268501663
AL,6,3119,Misc. Foods ,649737,10425,0,0,0,0.016044954
