,COMMODITY_ID,COMMODITY,IMP_TOT,IMP_MEX,EXP_TOT,EXP_MEX,MEX_BOT,SHARE_IMP,SHARE_EXP,TOT_BOT
163,0408,"BIRDS' EGGS, NOT IN SHELL & YOLKS, FRESH, DRY, ETC",18765554.0,0.0,95343688.0,11606887.0,11606887.0,0.0,12.173734038901452,76578134.0
164,0409,"HONEY, NATURAL",629085363.0,16087644.0,28678173.0,96973.0,-15990671.0,2.5573069961890056,0.3381421822094455,-600407190.0
165,0410,INSECTS AND OTHER EDIBLE PROD OF ANIMAL ORIGIN NES,40202417.0,148912.0,6896224.0,15054.0,-133858.0,0.37040559029075293,0.21829337330109927,-33306193.0
166,0501,"HUMAN HAIR, UNWORKED AND WASTE OF HUMAN HAIR",1100839.0,0.0,923173.0,84400.0,84400.0,0.0,9.142381763764755,-177666.0
167,0502,HOGS' HAIR ETC; BADGER HAIR ETC; WASTE HAIR ETC.,6183656.0,0.0,685616.0,146059.0,146059.0,0.0,21.30332430981774,-5498040.0
168,0504,"ANIMAL (NOT FISH) GUTS, BLADDERS, STOMACHS & PARTS",94208098.0,4400210.0,554705812.0,178673987.0,174273777.0,4.6707343566155,32.2105849866235,460497714.0
169,0505,BIRD SKINS & OTHER FEATHERED PARTS AND DOWN,127108794.0,0.0,98046796.0,198391.0,198391.0,0.0,0.2023431749875845,-29061998.0
170,0506,"BONES & HORN-CORES, UNWORKED ETC; POWDER & WASTE",28572225.0,1196594.0,34617290.0,40113.0,-1156481.0,4.187962260551987,0.11587562169077938,6045065.0
171,0507,"IVORY, TORTOISE-SHELL, WHALEBONE, HORNS ETC, UNWRK",10266539.0,0.0,3673800.0,18949.0,18949.0,0.0,0.5157874680167673,-6592739.0
172,0508,"CORAL, SHELL OF MOLLUSCS ETC UNWORKED POWDER/WASTE",20557721.0,1965519.0,3685901.0,0.0,-1965519.0,9.560977114146068,0.0,-16871820.0
173,0510,"AMBERGRIS, CASTOREUM ETC; GLANDS ETC FOR PHARMACY",18544448.0,115680.0,15922892.0,0.0,-115680.0,0.6237985622435351,0.0,-2621556.0
174,0511,"ANIMAL PRODUCTS NESOI; DEAD ANIMALS, INEDIBLE ETC.",819665180.0,73846625.0,529553899.0,29626315.0,-44220310.0,9.009364653016004,5.594579712460959,-290111281.0
